,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"Yo shits not even funny, I got the flu shoot and I got sick af.",FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ariannnyy_,0,FALSE,FALSE,NA,NA
2,i wish people wouldn't use antibiotics for the flu lmfao.,FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tatianatothe,0,FALSE,FALSE,NA,NA
3,"RT @marynmck: Imagine we have a bad flu season.  Imagine it comes to the US, and we can’t get protective masks, because only 5% of the mask…",FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",astrooblackk,81,TRUE,FALSE,NA,NA
4,"@kbeninato I have the flu and could barely get the TV on, and I think it might have single-handedly healed me.",FALSE,0,kbeninato,3/5/2018 20:33,FALSE,9.70758E+17,9.70759E+17,17150022,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BGinCHI,0,FALSE,FALSE,NA,NA
5,"Anyone else lost most of their chorus to tenor, lead, bari and bass flu? <ed><U+00A0><U+00BE><ed><U+00B4><U+00A7><ed><U+00A0><U+00BE><ed><U+00B4><U+00A7><ed><U+00A0><U+00BE><ed><U+00B4><U+00A7> https://t.co/gM6UuZAUr8",FALSE,1,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PoleJason,1,FALSE,FALSE,NA,NA
6,"got the flu shot once, got the flu. haven’t gotten a flu shot since and haven’t had the flu<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>something isn’t adding… https://t.co/YBeNEkWQQN",FALSE,0,NA,3/5/2018 20:33,TRUE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",corinne_cochran,0,FALSE,FALSE,NA,NA
7,"RT @jctwritesstuff: Welcome to your 40s, the Cocktail Flu now lasts three days.",FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WineMummy,197,TRUE,FALSE,NA,NA
8,"Need someone to bring me cold/flu tablets, a hot water bottle, a fluffy blanket AND to just play with my hair...please &amp; thanks <ed><U+00A0><U+00BD><ed><U+00B8><U+0085>",FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",littlestephhy,0,FALSE,FALSE,NA,NA
9,@GeanineC @lyndiejay @Anthellia @DallasIrey @RSahl1776 @szyba2032 @ronhack24 @JulieStCyr2 @Ivoted4Him @LeslieMaiko… https://t.co/bFniEP8Our,FALSE,0,GeanineC,3/5/2018 20:33,TRUE,9.6977E+17,9.70759E+17,447200783,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",OnAngelWings,0,FALSE,FALSE,NA,NA
10,"RT @DoveCameron: was meant to be at the @eltonofficial party tonight but instead, i’m slowly sipping coconut water in my bed. STILL bed rid…",FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rezi_mrnkova,285,TRUE,FALSE,NA,NA
11,"RT @DoveCameron: was meant to be at the @eltonofficial party tonight but instead, i’m slowly sipping coconut water in my bed. STILL bed rid…",FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",janicewong0223,285,TRUE,FALSE,NA,NA
12,RT @SarahDa15849051: Share my brave boy Dylan Day far &amp; wide.... who lost his life age 12 to Flu b &amp; sepsis... learn the symptoms of sepsis…,FALSE,0,NA,3/5/2018 20:33,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gweaver217,46,TRUE,FALSE,NA,NA
13,So trying to make #cycle2 less boring &amp; more weight training with supersets I was sweating with this &amp; @wattbike at… https://t.co/rmhJInG60H,FALSE,0,NA,3/5/2018 20:33,TRUE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KatyRobbo,0,FALSE,FALSE,NA,NA
14,Very exciting to have my result that relatively greater sunlight levels results in relatively lower flu levels used… https://t.co/nbGu7E6LWd,FALSE,0,NA,3/5/2018 20:33,TRUE,NA,9.70759E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DavidSlusky,0,FALSE,FALSE,NA,NA
15,"The flu is no joke, especially this year. Do everything you can to stay healthy! Eat right, workout, and wash your… https://t.co/7g5u1Cv1NH",FALSE,0,NA,3/5/2018 20:33,TRUE,NA,9.70759E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",OYOFITNESS,0,FALSE,FALSE,NA,NA
16,@FelixSilverFoxy IIRC muscle pain happens during the flu because the body devotes resources to your immune system t… https://t.co/t4ywAG0BzO,FALSE,0,FelixSilverFoxy,3/5/2018 20:32,TRUE,9.70552E+17,9.70759E+17,361639136,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TheFoxipso,0,FALSE,FALSE,NA,NA
17,Took my sister to the doctor for a rash on Friday and 48 hours later guess who has the flu? Both of us.,FALSE,0,NA,3/5/2018 20:32,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jsscalea,0,FALSE,FALSE,NA,NA
18,stomach flu is a bitch,FALSE,0,NA,3/5/2018 20:32,FALSE,NA,9.70759E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",imTimLee,0,FALSE,FALSE,NA,NA
